stage_ft,flow_cfs
0,61
0.5,218
1,498
1.5,848
2,1260
2.5,1740
3,2270
3.5,2860
4,3500
4.5,4190
5,4920
5.5,5700
6,6520
6.5,7290
7,8060
7.5,8860
8,9670
8.5,10500
9,11500
9.5,12600
10,13700
10.5,14800
11,16000
11.5,17200
12,18400
12.5,19700
13,21000
13.5,22300
14,23600
14.5,25000
15,26400
15.5,27900
16,29400
16.5,30900
17,32400
17.5,34000
18,35600
18.5,37200
19,38800
19.5,40500
20,42200
20.5,43900
21,45700
21.5,47400
22,49200
22.5,51100
23,52900
23.5,54800
24,56700
24.5,58600
25,60600
25.5,62500
26,64500
26.5,66600
27,68600
27.5,70700
28,72800
